TRANSACTIONID,TRANSACTIONTYPE,TRANSACTIONDATE,TRANSACTIONTIME,AMOUNT,DESCRIPTION,BANKBRANCH,VIA,ACCOUNTNO,ACCOUNTSTATE,BALANCE,BENACCOUNTNO,BENACCOUNTSTATE,DESTINATIONPREVIOUSBALANCE,DESTINATIONNEWBALANCE,SOURCEPREVIOUSBALANCE,SOURCENEWBALANCE,SOURCEPHONENUMBER,DESTINATIONPHONENUMBER,FLAG
T002770,Deposit,2025-11-03,21:38:00,3406,Generated transaction,BR004,Branch,ACC6970109,active,3835,ACC1007343,active,401,0,429,3835,2071701052,6880469951,High-Risk
T002771,Deposit,2025-11-05,16:53:00,3746,Generated transaction,BR022,Online,ACC5960522,active,4689,ACC1009100,active,515,0,943,4689,9900241585,2527032729,High-Risk
T002772,Transfer,2025-11-05,05:36:00,4128,Generated transaction,BR021,Online,ACC1006204,active,-1705,ACC1009084,active,16,0,2423,-1705,7299879571,7428070265,Circular
T002773,Deposit,2025-11-05,10:31:00,3286,Generated transaction,BR027,ATM,ACC1005401,active,0,ACC1006208,active,1672,0,170,0,8519945897,8970822691,Smurfing
T002774,Transfer,2025-10-31,21:37:00,2630,Generated transaction,BR047,Online,ACC1001608,active,-2480,ACC1000824,active,1676,0,150,-2480,7171564688,7980756126,Circular
T002775,Deposit,2025-11-05,10:31:00,3020,Generated transaction,BR033,Online,ACC1008595,active,0,ACC1007700,active,2950,5970,564,0,6103578149,4466324361,Smurfing
T002776,Transfer,2025-11-01,07:57:00,1273,Generated transaction,BR036,ATM,ACC1009489,active,0,ACC1004665,active,125,1398,812,0,3883446684,2759916966,
T002777,Transfer,2025-11-06,01:00:00,3600,Generated transaction,BR041,Branch,ACC1008072,active,4040,ACC1008763,active,2739,6339,440,4040,1286437624,7948421561,
T002778,Deposit,2025-11-04,12:08:00,3638,Generated transaction,BR015,ATM,ACC1007810,active,5538,ACC1007022,active,71,3709,1900,5538,8620752833,3161601606,
T002779,Withdrawal,2025-11-04,06:29:00,17,Generated transaction,BR001,ATM,ACC1005924,active,4073,ACC1006889,active,412,395,4056,4073,8976249608,7047478819,
T002780,Transfer,2025-10-31,04:53:00,3213,Generated transaction,BR026,ATM,ACC1003174,active,-2558,ACC1002741,active,824,0,655,-2558,9614147871,9566600330,Circular
T002781,Transfer,2025-11-03,01:52:00,4066,Generated transaction,BR049,ATM,ACC1006974,active,397,ACC1009007,active,987,0,4463,397,7453676624,3292652842,
T002782,Deposit,2025-10-31,15:52:00,784,Generated transaction,BR027,Online,ACC5960522,active,1665,ACC1005415,active,2415,1631,881,1665,6653193099,9523099570,High-Risk
T002783,Deposit,2025-11-05,18:49:00,2695,Generated transaction,BR050,ATM,ACC1000797,active,11125,ACC1000535,active,1252,3947,199,11125,2658310018,8868306285,Abnormal-Balance
T002784,Transfer,2025-11-06,22:07:00,219,Generated transaction,BR029,Online,ACC1007648,active,653,ACC1000212,active,2375,2156,434,653,9324439506,6401493301,
T002785,Transfer,2025-11-02,21:54:00,2328,Generated transaction,BR037,Branch,ACC1006227,active,0,ACC1004120,active,1646,0,858,0,5163613317,2186675446,Smurfing
T002786,Withdrawal,2025-11-02,23:23:00,2614,Generated transaction,BR015,Online,ACC1000686,active,0,ACC1005670,active,1548,4162,517,0,1469055610,5119117424,Smurfing
T002787,Withdrawal,2025-11-05,02:21:00,2083,Generated transaction,BR005,Online,ACC1001692,active,-306,ACC1000398,active,2907,4990,1777,-306,3818424273,4212588748,Circular
T002788,Deposit,2025-11-06,13:47:00,2325,Generated transaction,BR040,Branch,ACC1004813,active,7155,ACC1002720,active,743,3068,4830,7155,3532429735,4313996664,
T002789,Transfer,2025-11-03,16:56:00,3440,Generated transaction,BR041,ATM,ACC1006623,active,0,ACC1001307,active,1594,0,820,0,4570796724,9323295587,Smurfing
T002790,Withdrawal,2025-10-31,19:23:00,1750,Generated transaction,BR030,ATM,ACC1003309,active,0,ACC1005074,active,1926,176,236,0,1835046420,3267946409,
T002791,Withdrawal,2025-11-05,19:24:00,1329,Generated transaction,BR040,Branch,ACC1003220,active,727,ACC1006675,active,2328,999,2056,727,8812308702,4030717781,
T002792,Deposit,2025-11-02,01:15:00,4186,Generated transaction,BR020,Branch,ACC1006305,active,6271,ACC1006256,active,18,4204,2085,6271,9932865572,2398887792,
T002793,Deposit,2025-11-02,12:44:00,3859,Generated transaction,BR026,ATM,ACC1003657,active,0,ACC1001727,active,231,4090,736,0,3118677094,3546553387,
T002794,Withdrawal,2025-11-06,08:33:00,283,Generated transaction,BR029,ATM,ACC1009054,active,921,ACC1009941,active,241,0,1204,921,8747378463,2158851182,
T002795,Deposit,2025-11-04,01:37:00,115,Generated transaction,BR034,ATM,ACC1008249,active,2166,ACC1003042,active,53,168,2051,2166,6024028051,4989232147,
T002796,Deposit,2025-11-04,07:13:00,535,Generated transaction,BR031,ATM,ACC2976147,active,1177,ACC1005596,active,1658,2193,642,1177,8292912555,9996859998,High-Risk
T002797,Deposit,2025-11-03,06:45:00,2929,Generated transaction,BR020,Branch,ACC1003944,active,3399,ACC1003033,active,1455,4384,470,3399,3284251060,2387871049,Circular
T002798,Transfer,2025-11-04,18:29:00,931,Generated transaction,BR008,ATM,ACC1009888,dormant,931,ACC1009395,active,1496,565,0,931,8455261553,9008400559,Dormant-Active
T002799,Withdrawal,2025-11-01,16:25:00,2359,Generated transaction,BR024,Online,ACC1004415,active,420,ACC1006184,active,2025,0,2779,420,8134021229,3285169996,Circular
T002800,Deposit,2025-11-06,22:09:00,1726,Generated transaction,BR021,Branch,ACC1008922,active,2502,ACC1003314,active,2387,4113,4228,2502,1259984774,8556574777,
T002801,Deposit,2025-11-03,15:23:00,2046,Generated transaction,BR025,Online,ACC1008341,active,0,ACC1007017,active,1225,0,522,0,3955584359,4668375662,
T002802,Transfer,2025-11-06,03:35:00,2472,Generated transaction,BR029,Online,ACC1009471,dormant,2472,ACC1002469,active,1472,3944,0,2472,2456001569,5868245717,Dormant-Active
T002803,Withdrawal,2025-11-03,05:04:00,1669,Generated transaction,BR010,ATM,ACC1001399,active,0,ACC1004733,active,1103,0,369,0,5675815887,8179977004,Smurfing
T002804,Withdrawal,2025-11-01,03:14:00,3800,Generated transaction,BR012,Online,ACC1009556,active,0,ACC1007965,active,1027,4827,1365,0,8011943488,1105593729,Smurfing
T002805,Withdrawal,2025-11-03,20:19:00,4599,Generated transaction,BR007,Branch,ACC1009176,active,0,ACC1000641,active,2846,7445,317,0,3622980061,2204814765,Smurfing
T002806,Transfer,2025-11-02,20:39:00,17,Generated transaction,BR044,Branch,ACC1009422,active,832,ACC1004717,active,1604,1621,849,832,4145395959,6843435201,Smurfing
T002807,Withdrawal,2025-11-03,21:18:00,4426,Generated transaction,BR016,Online,ACC1006030,active,0,ACC1004558,active,1303,0,627,0,1015462670,4824841317,
T002808,Deposit,2025-10-31,13:06:00,1673,Generated transaction,BR031,Online,ACC1000999,active,0,ACC1001489,active,649,0,1293,0,3630122968,6928357697,Smurfing
T002809,Transfer,2025-11-01,11:43:00,4795,Generated transaction,BR010,Branch,ACC1001112,active,-2859,ACC1001008,active,2679,7474,1936,-2859,8704124165,9846269259,Circular
T002810,Transfer,2025-11-06,02:47:00,4402,Generated transaction,BR020,ATM,ACC1003138,active,0,ACC1001870,active,1196,0,550,0,2660440280,3311833414,Smurfing
T002811,Withdrawal,2025-11-02,09:35:00,2971,Generated transaction,BR041,ATM,ACC2976147,active,-1983,ACC1009447,active,725,0,988,-1983,6991738194,3853488955,High-Risk
T002812,Transfer,2025-11-04,11:17:00,1667,Generated transaction,BR007,ATM,ACC1003429,dormant,1667,ACC1001278,active,2269,3936,0,1667,4831801074,1061338584,Dormant-Active
T002813,Deposit,2025-11-02,08:39:00,4233,Generated transaction,BR032,ATM,ACC1006639,active,16598,ACC1005105,active,1163,0,170,16598,3452268231,3713081171,Abnormal-Balance
T002814,Withdrawal,2025-11-04,22:16:00,293,Generated transaction,BR007,ATM,ACC1003924,active,2216,ACC1004163,active,389,682,1923,2216,2769735395,8596093922,
T002815,Deposit,2025-11-04,21:50:00,2255,Generated transaction,BR049,Online,ACC1002931,active,6648,ACC1002354,active,1303,3558,4393,6648,6717849936,9380859857,
T002816,Withdrawal,2025-11-05,08:20:00,632,Generated transaction,BR020,Branch,ACC1006596,active,1117,ACC1004734,active,426,0,1749,1117,2833906002,5451240117,Circular
T002817,Transfer,2025-11-02,17:34:00,3200,Generated transaction,BR041,Online,ACC1008820,active,-2369,ACC1001545,active,1213,4413,831,-2369,7194191343,2440963510,Circular
T002818,Transfer,2025-11-05,19:34:00,2568,Generated transaction,BR032,Branch,ACC1001735,dormant,2568,ACC1006221,active,97,2665,0,2568,7632921979,4993904710,Dormant-Active
T002819,Deposit,2025-11-01,16:16:00,468,Generated transaction,BR050,Branch,ACC1001247,active,40675,ACC1007054,active,2798,3266,75,40675,3457732693,6783367332,Abnormal-Balance
T002820,Transfer,2025-11-02,21:25:00,564,Generated transaction,BR040,Branch,ACC1000229,active,160,ACC1007551,active,62,0,724,160,2610022108,1725551899,
T002821,Transfer,2025-10-31,06:58:00,3563,Generated transaction,BR015,Branch,ACC1005669,active,7149,ACC1000498,active,1034,0,3586,7149,5819205893,4281180441,
T002822,Withdrawal,2025-11-02,21:33:00,2933,Generated transaction,BR045,Online,ACC1007456,active,5628,ACC1009419,active,270,3203,2695,5628,1763529783,4362971360,
T002823,Withdrawal,2025-11-05,18:37:00,1492,Generated transaction,BR023,Online,ACC1008992,active,4512,ACC1001183,active,2402,910,3020,4512,1015399313,5973240119,
T002824,Transfer,2025-11-03,01:10:00,382,Generated transaction,BR046,Online,ACC1004399,active,875,ACC1002939,active,233,615,1257,875,1272109101,2268503002,Circular
T002825,Withdrawal,2025-10-31,14:47:00,385,Generated transaction,BR026,Online,ACC1004047,active,2708,ACC1002765,active,689,1074,3093,2708,9419350566,2269969503,
T002826,Transfer,2025-11-02,20:48:00,2114,Generated transaction,BR047,Branch,ACC1000124,active,0,ACC1006951,active,2392,278,390,0,8548469586,1082281707,Smurfing
T002827,Withdrawal,2025-11-06,04:31:00,2096,Generated transaction,BR016,Online,ACC1009696,active,0,ACC1008561,active,1177,0,622,0,9790972796,5382386070,Smurfing
T002828,Transfer,2025-10-31,15:37:00,876,Generated transaction,BR036,Online,ACC1004462,active,5035,ACC1008374,active,113,0,4159,5035,4914026577,7299104049,
T002829,Withdrawal,2025-11-01,22:31:00,3969,Generated transaction,BR015,Branch,ACC6970109,active,-3399,ACC1000972,active,1053,5022,570,-3399,5603012697,5831297817,High-Risk
T002830,Withdrawal,2025-11-02,20:39:00,2108,Generated transaction,BR045,ATM,ACC1000161,active,3849,ACC1000484,active,2162,54,1741,3849,7571116453,9304024657,
T002831,Deposit,2025-11-02,08:49:00,4915,Generated transaction,BR009,Online,ACC1007845,active,7293,ACC1004813,active,1544,0,2378,7293,6986145264,4133656326,
T002832,Transfer,2025-11-03,07:47:00,1222,Generated transaction,BR028,Branch,ACC1007699,active,2170,ACC1004314,active,432,0,948,2170,3552121368,5955750047,
T002833,Deposit,2025-11-03,17:24:00,48,Generated transaction,BR008,ATM,ACC1001240,active,987,ACC1005809,active,2379,2427,1035,987,1078230898,6706332928,Smurfing
T002834,Transfer,2025-11-05,00:27:00,3440,Generated transaction,BR043,Branch,ACC1006118,active,187,ACC1002169,active,2289,0,3627,187,5718653551,6138063256,
T002835,Transfer,2025-11-02,10:41:00,2591,Generated transaction,BR022,Online,ACC1004466,active,-1639,ACC1002237,active,2652,61,952,-1639,7388698229,9102052292,Circular
T002836,Deposit,2025-11-04,20:21:00,1813,Generated transaction,BR016,Branch,ACC1008757,active,2379,ACC1001310,active,2556,743,566,2379,2574942792,2705667018,Circular
T002837,Transfer,2025-11-02,06:35:00,1491,Generated transaction,BR019,Branch,ACC1009822,active,1384,ACC1003939,active,2289,798,2875,1384,4715474277,1399398167,Circular
T002838,Transfer,2025-11-02,10:07:00,3739,Generated transaction,BR044,Branch,ACC1003487,active,0,ACC1006806,active,1115,0,444,0,2989483020,3645522013,Smurfing
T002839,Deposit,2025-10-31,19:58:00,565,Generated transaction,BR022,Branch,ACC1006935,active,1844,ACC1004963,active,1493,928,1279,1844,2935826664,7913174714,Circular
T002840,Deposit,2025-11-03,03:46:00,183,Generated transaction,BR035,Branch,ACC1002369,active,1205,ACC1000879,active,842,659,1388,1205,3493474199,4962163038,Smurfing
T002841,Withdrawal,2025-11-05,21:41:00,4080,Generated transaction,BR018,Online,ACC1000330,active,0,ACC1004806,active,1285,5365,997,0,5431104889,4916613219,
T002842,Withdrawal,2025-11-02,20:27:00,3728,Generated transaction,BR038,Online,ACC1006358,active,0,ACC1003928,active,2774,0,1881,0,6958002434,7469511775,Smurfing
T002843,Withdrawal,2025-11-03,11:51:00,2534,Generated transaction,BR022,ATM,ACC1004032,active,-1804,ACC1002022,active,486,3020,730,-1804,7097046567,5919398997,Circular
T002844,Deposit,2025-11-03,17:28:00,556,Generated transaction,BR008,Online,ACC1007816,active,43120,ACC1002618,active,588,32,157,43120,8943525607,7480638276,Abnormal-Balance
T002845,Withdrawal,2025-11-01,20:56:00,534,Generated transaction,BR019,Online,ACC1004231,active,4337,ACC1009460,active,1656,2190,4871,4337,8638113275,9055931910,
T002846,Withdrawal,2025-11-06,04:31:00,2288,Generated transaction,BR021,ATM,ACC1004778,active,0,ACC1007526,active,1705,3993,1403,0,7723708747,9465134949,Smurfing
T002847,Transfer,2025-11-01,15:44:00,2102,Generated transaction,BR018,Branch,ACC1006135,active,0,ACC1008351,active,2908,806,393,0,2311793628,1020521113,Smurfing
T002848,Transfer,2025-11-01,03:07:00,3371,Generated transaction,BR004,Branch,ACC1002896,active,0,ACC1000130,active,976,0,757,0,7110917004,5468270181,Smurfing
T002849,Withdrawal,2025-11-03,21:14:00,3377,Generated transaction,BR033,Branch,ACC1001570,active,0,ACC1004531,active,660,4037,943,0,9153460933,2312130109,Smurfing
T002850,Withdrawal,2025-11-05,07:47:00,4832,Generated transaction,BR010,ATM,ACC1009319,active,-3919,ACC1001386,active,2358,0,913,-3919,7060403453,9061828262,Circular
T002851,Withdrawal,2025-11-03,03:19:00,3790,Generated transaction,BR047,Online,ACC1007296,active,477,ACC1006000,active,2876,0,4267,477,8305101915,3988687160,
T002852,Withdrawal,2025-11-04,00:49:00,4069,Generated transaction,BR026,Online,ACC1009668,active,7692,ACC1000903,active,2286,6355,3623,7692,5753748539,5380955107,
T002853,Transfer,2025-11-03,12:36:00,492,Generated transaction,BR027,Branch,ACC1006344,active,476,ACC1000705,active,495,987,968,476,7417551985,2512355135,Smurfing
T002854,Withdrawal,2025-11-05,11:09:00,1285,Generated transaction,BR045,ATM,ACC1000009,active,0,ACC1007173,active,2357,1072,1005,0,5735570336,2846726322,
T002855,Transfer,2025-11-03,16:57:00,1471,Generated transaction,BR039,Online,ACC1000151,dormant,1471,ACC1006724,active,1878,3349,0,1471,8247989842,5727435172,Dormant-Active
T002856,Withdrawal,2025-11-04,15:11:00,1385,Generated transaction,BR023,ATM,ACC1007567,active,0,ACC1006514,active,1795,3180,1209,0,5603614756,5257668567,
T002857,Deposit,2025-11-06,12:53:00,2541,Generated transaction,BR022,ATM,ACC1001093,active,38263,ACC1005219,active,1117,0,148,38263,6509411197,8760571614,Abnormal-Balance
T002858,Transfer,2025-11-05,19:54:00,3580,Generated transaction,BR021,Branch,ACC1002581,active,0,ACC1000734,active,1600,0,1772,0,2507194785,6088605200,
T002859,Withdrawal,2025-10-31,17:39:00,3870,Generated transaction,BR004,Branch,ACC1003892,active,4211,ACC1004216,active,553,4423,341,4211,7150219811,7180683792,
T002860,Transfer,2025-11-04,14:51:00,2666,Generated transaction,BR041,Branch,ACC1005291,active,2800,ACC1004693,active,2600,5266,134,2800,8999097516,2192029389,
T002861,Transfer,2025-11-02,23:37:00,3568,Generated transaction,BR024,Branch,ACC1007800,active,0,ACC1009821,active,1910,0,1035,0,4820232679,6724896431,Smurfing
T002862,Withdrawal,2025-11-02,13:15:00,3107,Generated transaction,BR036,ATM,ACC1003060,active,0,ACC1001896,active,1816,0,1931,0,6568908323,2598972267,
T002863,Deposit,2025-11-06,05:10:00,257,Generated transaction,BR001,ATM,ACC1000307,active,943,ACC1004245,active,1424,1167,686,943,9359149818,9745059789,Circular
T002864,Withdrawal,2025-11-06,15:04:00,2379,Generated transaction,BR038,Branch,ACC1005407,active,0,ACC1002008,active,782,3161,532,0,9305036473,7705802798,Smurfing
T002865,Transfer,2025-11-01,10:04:00,2579,Generated transaction,BR022,Branch,ACC1002099,active,-1488,ACC1002314,active,143,2722,1091,-1488,2485364966,2572836282,Circular
T002866,Withdrawal,2025-11-05,11:46:00,628,Generated transaction,BR017,Branch,ACC1009623,active,2447,ACC1007319,active,822,1450,3075,2447,2436990737,5205878930,
T002867,Transfer,2025-11-05,04:03:00,2748,Generated transaction,BR032,ATM,ACC1003242,dormant,2748,ACC1004376,active,81,0,0,2748,3953725258,1481029911,Dormant-Active
T002868,Withdrawal,2025-11-03,01:24:00,2281,Generated transaction,BR028,ATM,ACC1006830,active,1068,ACC1001461,active,315,2596,3349,1068,2066273250,4489265160,
T002869,Withdrawal,2025-11-01,10:49:00,4188,Generated transaction,BR045,Online,ACC1004287,active,4608,ACC1007367,active,9,4197,420,4608,8389668356,9900468081,
T002870,Deposit,2025-11-06,08:28:00,4561,Generated transaction,BR050,ATM,ACC1008769,active,31414,ACC1004464,active,2696,7257,176,31414,5767266196,3583310753,Abnormal-Balance
T002871,Deposit,2025-10-31,02:15:00,2661,Generated transaction,BR022,Branch,ACC1000232,active,45582,ACC1008539,active,2427,0,155,45582,3181276317,3347225543,Abnormal-Balance
T002872,Transfer,2025-11-01,21:10:00,2325,Generated transaction,BR036,Branch,ACC1009941,active,0,ACC1009942,active,103,2428,1641,0,5502090704,6245684617,Smurfing
T002873,Transfer,2025-11-05,21:30:00,321,Generated transaction,BR007,ATM,ACC1007079,active,4614,ACC1009688,active,432,111,4935,4614,8308554033,7736208015,
T002874,Deposit,2025-11-04,18:08:00,1326,Generated transaction,BR028,ATM,ACC1000361,active,0,ACC1002246,active,1190,0,715,0,1492855428,6111637968,
T002875,Withdrawal,2025-11-01,19:20:00,4181,Generated transaction,BR047,ATM,ACC1000844,active,0,ACC1007488,active,1079,0,2291,0,3571904962,4638847001,
T002876,Deposit,2025-11-03,18:17:00,13,Generated transaction,BR048,ATM,ACC1007563,active,431,ACC1009693,active,323,310,444,431,6881718021,6815177620,Smurfing
T002877,Transfer,2025-11-01,08:45:00,4032,Generated transaction,BR002,ATM,ACC1006874,active,0,ACC1006401,active,2098,0,3003,0,7973402068,4647993410,
T002878,Deposit,2025-11-04,03:28:00,3254,Generated transaction,BR003,Branch,ACC1006075,active,0,ACC1004926,active,411,3665,167,0,2656222032,2387110931,Smurfing
T002879,Withdrawal,2025-11-04,08:19:00,3874,Generated transaction,BR032,ATM,ACC1004764,active,0,ACC1007541,active,1110,0,644,0,2093812834,4937858205,Smurfing
T002880,Deposit,2025-10-31,06:21:00,2992,Generated transaction,BR035,ATM,ACC1009799,active,5894,ACC1005533,active,1487,4479,2902,5894,4203489109,8249171610,Circular
T002881,Deposit,2025-11-05,19:22:00,2568,Generated transaction,BR018,Branch,ACC1001604,active,5215,ACC1004610,active,148,0,2647,5215,8039736903,3190202048,Circular
T002882,Deposit,2025-11-06,16:58:00,3148,Generated transaction,BR043,Branch,ACC1002817,active,6798,ACC1000248,active,2511,5659,3650,6798,7264141044,3956395156,
T002883,Transfer,2025-11-01,19:10:00,1942,Generated transaction,BR017,Online,ACC1002330,active,-542,ACC1007151,active,712,2654,1400,-542,3286740804,9547510234,Circular
T002884,Withdrawal,2025-11-03,00:12:00,4220,Generated transaction,BR002,ATM,ACC1004760,active,0,ACC1009935,active,1861,6081,1559,0,6567139024,1076150279,Smurfing
T002885,Deposit,2025-11-04,09:33:00,3735,Generated transaction,BR007,Branch,ACC1009361,active,6026,ACC1004690,active,1494,0,2291,6026,1314492310,4191092794,
T002886,Withdrawal,2025-11-02,02:51:00,3542,Generated transaction,BR041,Online,ACC1003904,active,888,ACC1002026,active,1748,0,4430,888,9110769188,8493384779,
T002887,Withdrawal,2025-11-05,08:31:00,809,Generated transaction,BR015,Branch,ACC1007898,active,1332,ACC1002224,active,251,1060,523,1332,2075128199,8480455482,
T002888,Deposit,2025-11-06,08:19:00,705,Generated transaction,BR040,ATM,ACC1002841,active,0,ACC1006459,active,1830,2535,246,0,3767462812,9299689400,
T002889,Deposit,2025-11-01,14:54:00,4855,Generated transaction,BR009,ATM,ACC1002183,active,6689,ACC1005316,active,2522,7377,1834,6689,7410408083,6074323804,
T002890,Withdrawal,2025-10-31,09:23:00,2787,Generated transaction,BR034,ATM,ACC1008478,active,0,ACC1005576,active,436,0,942,0,1801875991,9270265129,Smurfing
T002891,Withdrawal,2025-10-31,21:37:00,1871,Generated transaction,BR026,Branch,ACC1002165,active,-812,ACC1007535,active,776,0,1059,-812,9045252906,4366269901,Circular
T002892,Deposit,2025-11-03,05:55:00,4601,Generated transaction,BR020,ATM,ACC1007571,active,18225,ACC1005426,active,2717,0,199,18225,8528289186,3532927334,Abnormal-Balance
T002893,Transfer,2025-11-05,09:19:00,457,Generated transaction,BR027,Branch,ACC1005804,active,802,ACC1003965,active,1299,1756,1259,802,8066965798,6539696646,Circular
T002894,Deposit,2025-11-05,01:32:00,4268,Generated transaction,BR014,Branch,ACC1007409,active,0,ACC1008607,active,2332,0,659,0,4949257008,4749973040,
T002895,Withdrawal,2025-11-05,11:25:00,4808,Generated transaction,BR022,Branch,ACC1002628,active,0,ACC1000548,active,264,5072,1607,0,2882172947,8011779693,Smurfing
T002896,Deposit,2025-10-31,14:06:00,1761,Generated transaction,BR044,Online,ACC2976147,active,2748,ACC1004600,active,2338,4099,987,2748,8862504698,9065342132,High-Risk
T002897,Deposit,2025-11-05,06:54:00,4548,Generated transaction,BR002,Online,ACC1009342,active,34393,ACC1001407,active,629,0,20,34393,3769413993,1129528814,Abnormal-Balance
T002898,Transfer,2025-11-02,21:46:00,3419,Generated transaction,BR021,ATM,ACC1002914,active,21,ACC1008267,active,1618,5037,3440,21,2461125520,9773521223,
T002899,Deposit,2025-11-05,14:58:00,4198,Generated transaction,BR033,Branch,ACC1002079,active,0,ACC1008037,active,2921,7119,1510,0,6082633060,6044419595,Smurfing
T002900,Deposit,2025-11-03,08:00:00,2873,Generated transaction,BR013,Online,ACC1009652,active,21065,ACC1006456,active,526,0,128,21065,2483186183,2961246220,Abnormal-Balance
T002901,Deposit,2025-11-06,16:06:00,533,Generated transaction,BR014,Online,ACC1007614,active,3351,ACC1002544,active,889,356,2818,3351,2406802118,9351765086,
T002902,Transfer,2025-10-31,23:41:00,4087,Generated transaction,BR025,ATM,ACC1004297,active,-2128,ACC1003200,active,1026,0,1959,-2128,7365598878,1206537132,Circular
T002903,Deposit,2025-11-06,17:28:00,3594,Generated transaction,BR005,Branch,ACC1003019,active,0,ACC1000580,active,1051,4645,1503,0,3696172327,8681497469,Smurfing
T002904,Withdrawal,2025-11-05,07:52:00,3953,Generated transaction,BR027,Branch,ACC1009814,active,-2692,ACC1008162,active,1615,5568,1261,-2692,8571793205,6467275524,Circular
T002905,Deposit,2025-11-04,19:44:00,1404,Generated transaction,BR033,Branch,ACC1008456,active,3362,ACC1002934,active,943,2347,1958,3362,4477497721,4158288069,Circular
T002906,Transfer,2025-11-02,11:32:00,3179,Generated transaction,BR024,ATM,ACC1002517,active,0,ACC1005705,active,2346,5525,1715,0,7579971124,9115141477,
T002907,Withdrawal,2025-11-03,12:59:00,3897,Generated transaction,BR032,Online,ACC1005242,active,-3076,ACC1003749,active,383,0,821,-3076,7852135509,8781158965,Circular
T002908,Withdrawal,2025-11-04,09:24:00,1512,Generated transaction,BR041,Branch,ACC1004391,active,0,ACC1006802,active,361,1873,689,0,5003062341,7756458719,
T002909,Transfer,2025-11-02,00:04:00,2452,Generated transaction,BR038,ATM,ACC1007231,active,5783,ACC1005468,active,2376,0,3331,5783,9863236417,6741918275,
T002910,Transfer,2025-11-04,13:28:00,3236,Generated transaction,BR004,ATM,ACC1003566,active,3841,ACC1000270,active,594,0,605,3841,3915521318,6965025852,
T002911,Transfer,2025-10-31,15:25:00,464,Generated transaction,BR048,Branch,ACC1007296,active,3423,ACC1008362,active,2053,2517,3887,3423,4237283348,7080024308,
T002912,Deposit,2025-11-04,08:14:00,2606,Generated transaction,BR031,Branch,ACC1005074,active,0,ACC1008658,active,2228,4834,406,0,5557772773,6843483605,Smurfing
T002913,Withdrawal,2025-11-05,05:12:00,3894,Generated transaction,BR025,Branch,ACC1006711,active,0,ACC1003517,active,746,0,1127,0,4996244047,6693657922,Smurfing
T002914,Withdrawal,2025-11-02,17:03:00,416,Generated transaction,BR007,Online,ACC1008239,active,2566,ACC1003506,active,2350,2766,2982,2566,5211685435,3456413958,Circular
T002915,Withdrawal,2025-11-04,19:16:00,1292,Generated transaction,BR019,Online,ACC1001410,active,648,ACC1006498,active,1779,487,1940,648,6839893356,3070301340,Smurfing
T002916,Transfer,2025-11-01,12:58:00,2188,Generated transaction,BR047,Branch,ACC1009953,active,6599,ACC1001104,active,2561,373,4411,6599,5659925490,6860858443,
T002917,Transfer,2025-11-06,08:21:00,1813,Generated transaction,BR035,ATM,ACC1009830,dormant,1813,ACC1002564,active,1480,0,0,1813,7684567176,3869815110,Dormant-Active
T002918,Transfer,2025-10-31,18:39:00,1221,Generated transaction,BR016,ATM,ACC1000431,active,406,ACC1007073,active,2922,4143,1627,406,5082470876,7925490044,Smurfing
T002919,Transfer,2025-11-01,04:21:00,4913,Generated transaction,BR027,Branch,ACC1006136,active,0,ACC1003176,active,1230,6143,2973,0,8147636235,7437455116,
T002920,Transfer,2025-11-04,16:36:00,287,Generated transaction,BR007,Online,ACC1004538,active,3016,ACC1005897,active,618,331,2729,3016,3939021786,7613570351,
T002921,Withdrawal,2025-11-02,06:23:00,219,Generated transaction,BR001,ATM,ACC1007629,active,1667,ACC1008569,active,1386,1167,1886,1667,3275388036,1467603068,Smurfing
T002922,Deposit,2025-10-31,23:00:00,4880,Generated transaction,BR006,Branch,ACC1007198,active,0,ACC1007148,active,1064,5944,363,0,6206124949,7127924323,Smurfing
T002923,Deposit,2025-11-05,04:11:00,2717,Generated transaction,BR029,ATM,ACC1004942,active,3604,ACC1003897,active,898,3615,887,3604,1982992720,9386666015,Circular
T002924,Deposit,2025-11-06,13:36:00,1404,Generated transaction,BR001,Online,ACC1002423,active,2221,ACC1002559,active,2523,1119,3625,2221,6233748238,2246270359,
T002925,Deposit,2025-10-31,06:05:00,2575,Generated transaction,BR001,ATM,ACC1003606,active,0,ACC1002524,active,674,3249,1623,0,5311738516,3032542142,Smurfing
T002926,Withdrawal,2025-11-04,17:47:00,3508,Generated transaction,BR032,ATM,ACC1000432,active,8225,ACC1007834,active,311,3819,4717,8225,9462122700,2621990911,
T002927,Deposit,2025-11-02,07:48:00,950,Generated transaction,BR032,Branch,ACC1001640,active,173,ACC1004869,active,381,1331,1123,173,6290737711,7166873452,Smurfing
T002928,Withdrawal,2025-11-02,07:58:00,2877,Generated transaction,BR044,Branch,ACC1007228,active,1541,ACC1008662,active,1226,0,4418,1541,6850634396,1500228324,
T002929,Deposit,2025-11-04,02:41:00,2172,Generated transaction,BR005,ATM,ACC1001346,active,0,ACC1002834,active,2960,788,1551,0,7719420502,6072744616,Smurfing
T002930,Deposit,2025-11-05,10:46:00,3969,Generated transaction,BR010,Online,ACC1004111,active,25038,ACC1007822,active,1796,0,31,25038,7475046016,7507791529,Abnormal-Balance
